"assembly"	"sample"	"design"	"method"	"Median quality"	"Average quality"
"hg38"	"HG01377"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3054989816701
"hg38"	"HG01384"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6122448979592
"hg38"	"HG01389"	"1kGP WGS
long-read"	"cramino_qual"	14	13.8309572301426
"hg38"	"HG01390"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0635245901639
"hg38"	"HG01392"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2740286298569
"hg38"	"HG01396"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2760736196319
"hg38"	"HG01398"	"1kGP WGS
long-read"	"cramino_qual"	17	16.9012345679012
"hg38"	"HG01412"	"1kGP WGS
long-read"	"cramino_qual"	17	16.5154004106776
"hg38"	"HG01447"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3394683026585
"hg38"	"HG01453"	"1kGP WGS
long-read"	"cramino_qual"	16	15.165306122449
"hg38"	"HG01455"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2525458248472
"hg38"	"HG01464"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5551020408163
"hg38"	"HG01465"	"1kGP WGS
long-read"	"cramino_qual"	15	14.1755102040816
"hg38"	"HG01474"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3401221995927
"hg38"	"HG01479"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8105906313646
"hg38"	"HG01489"	"1kGP WGS
long-read"	"cramino_qual"	15	14.0553278688525
"hg38"	"HG01492"	"1kGP WGS
long-read"	"cramino_qual"	15	14.4081632653061
"hg38"	"HG01494"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3428571428571
"hg38"	"HG01500"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2418032786885
"hg38"	"HG01504"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9918367346939
"hg38"	"HG01506"	"1kGP WGS
long-read"	"cramino_qual"	14	13.8004073319756
"hg38"	"HG01507"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0511247443763
"hg38"	"HG01509"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1676891615542
"hg38"	"HG01512"	"1kGP WGS
long-read"	"cramino_qual"	16	15.6331967213115
"hg38"	"HG01513"	"1kGP WGS
long-read"	"cramino_qual"	15	14.4387755102041
"hg38"	"HG01518"	"1kGP WGS
long-read"	"cramino_qual"	15	14.8024439918534
"hg38"	"HG01519"	"1kGP WGS
long-read"	"cramino_qual"	17	16.1758691206544
"hg38"	"HG01525"	"1kGP WGS
long-read"	"cramino_qual"	17	16.1885245901639
"hg38"	"HG01527"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5664621676892
"hg38"	"HG01530"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0449897750511
"hg38"	"HG01550"	"1kGP WGS
long-read"	"cramino_qual"	14	13.7317073170732
"hg38"	"HG01551"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2024539877301
"hg38"	"HG01566"	"1kGP WGS
long-read"	"cramino_qual"	17	16.7427983539095
"hg38"	"HG01571"	"1kGP WGS
long-read"	"cramino_qual"	17	16.6564417177914
"hg38"	"HG01572"	"1kGP WGS
long-read"	"cramino_qual"	17	16.193482688391
"hg38"	"HG01577"	"1kGP WGS
long-read"	"cramino_qual"	16	15.269387755102
"hg38"	"HG01578"	"1kGP WGS
long-read"	"cramino_qual"	17	15.7736625514403
"hg38"	"HG01583"	"1kGP WGS
long-read"	"cramino_qual"	16	15.6216768916155
"hg38"	"HG01586"	"1kGP WGS
long-read"	"cramino_qual"	16	15.5512295081967
"hg38"	"HG01589"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8453608247423
"hg38"	"HG01595"	"1kGP WGS
long-read"	"cramino_qual"	17	16.5605749486653
"hg38"	"HG01596"	"1kGP WGS
long-read"	"cramino_qual"	17	15.9794661190965
"hg38"	"HG01597"	"1kGP WGS
long-read"	"cramino_qual"	18	16.9238683127572
"hg38"	"HG01598"	"1kGP WGS
long-read"	"cramino_qual"	17	16.3141683778234
"hg38"	"HG01600"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1849593495935
"hg38"	"HG01602"	"1kGP WGS
long-read"	"cramino_qual"	17	16.3387755102041
"hg38"	"HG01605"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1806981519507
"hg38"	"HG01606"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1472392638037
"hg38"	"HG01608"	"1kGP WGS
long-read"	"cramino_qual"	16	14.7816326530612
"hg38"	"HG01612"	"1kGP WGS
long-read"	"cramino_qual"	16	14.6905737704918
"hg38"	"HG01617"	"1kGP WGS
long-read"	"cramino_qual"	15	14.1059063136456
"hg38"	"HG01626"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5010224948875
"hg38"	"HG01630"	"1kGP WGS
long-read"	"cramino_qual"	15	14.4207317073171
"hg38"	"HG01673"	"1kGP WGS
long-read"	"cramino_qual"	15.5	14.6061224489796
"hg38"	"HG01676"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8995901639344
"hg38"	"HG01678"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9426229508197
"hg38"	"HG01680"	"1kGP WGS
long-read"	"cramino_qual"	16	14.7510204081633
"hg38"	"HG01684"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5389344262295
"hg38"	"HG01694"	"1kGP WGS
long-read"	"cramino_qual"	15	14.4549180327869
"hg38"	"HG01699"	"1kGP WGS
long-read"	"cramino_qual"	15	14.1635991820041
"hg38"	"HG01700"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0879345603272
"hg38"	"HG01756"	"1kGP WGS
long-read"	"cramino_qual"	14	13.5040816326531
"hg38"	"HG01765"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2903885480573
"hg38"	"HG01766"	"1kGP WGS
long-read"	"cramino_qual"	16	14.877800407332
"hg38"	"HG01773"	"1kGP WGS
long-read"	"cramino_qual"	14	13.9042769857434
"hg38"	"HG01776"	"1kGP WGS
long-read"	"cramino_qual"	13	12.9815573770492
"hg38"	"HG01779"	"1kGP WGS
long-read"	"cramino_qual"	16	14.6836734693878
"hg38"	"HG01786"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5548780487805
"hg38"	"HG01789"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3265306122449
"hg38"	"HG01791"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6049382716049
"hg38"	"HG01794"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5286885245902
"hg38"	"HG01796"	"1kGP WGS
long-read"	"cramino_qual"	14	13.7341513292434
"hg38"	"HG01798"	"1kGP WGS
long-read"	"cramino_qual"	15	14.483606557377
"hg38"	"HG01800"	"1kGP WGS
long-read"	"cramino_qual"	16	14.7955010224949
"hg38"	"HG01805"	"1kGP WGS
long-read"	"cramino_qual"	16	14.7142857142857
"hg38"	"HG01806"	"1kGP WGS
long-read"	"cramino_qual"	13	13.0285132382892
"hg38"	"HG01807"	"1kGP WGS
long-read"	"cramino_qual"	15	14.19836400818
"hg38"	"HG01809"	"1kGP WGS
long-read"	"cramino_qual"	17	15.9038854805726
"hg38"	"HG01813"	"1kGP WGS
long-read"	"cramino_qual"	16	15.5532786885246
"hg38"	"HG01815"	"1kGP WGS
long-read"	"cramino_qual"	16	15.5267489711934
"hg38"	"HG01817"	"1kGP WGS
long-read"	"cramino_qual"	17	15.9363449691992
"hg38"	"HG01840"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2862985685072
"hg38"	"HG01846"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0593047034765
"hg38"	"HG01851"	"1kGP WGS
long-read"	"cramino_qual"	16	15.5040983606557
"hg38"	"HG01853"	"1kGP WGS
long-read"	"cramino_qual"	16	15.016393442623
"hg38"	"HG01859"	"1kGP WGS
long-read"	"cramino_qual"	14	13.6523517382413
"hg38"	"HG01863"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7423312883436
"hg38"	"HG01865"	"1kGP WGS
long-read"	"cramino_qual"	15	14.8028747433265
"hg38"	"HG01866"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2725409836066
"hg38"	"HG01870"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2704918032787
"hg38"	"HG01871"	"1kGP WGS
long-read"	"cramino_qual"	17	15.7766393442623
"hg38"	"HG01872"	"1kGP WGS
long-read"	"cramino_qual"	16	15.165306122449
"hg38"	"HG01873"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1680327868852
"hg38"	"HG01879"	"1kGP WGS
long-read"	"cramino_qual"	15	14.8591836734694
"hg38"	"HG01880"	"1kGP WGS
long-read"	"cramino_qual"	17	15.8028747433265
"hg38"	"HG01883"	"1kGP WGS
long-read"	"cramino_qual"	16	15.7008196721311
"hg38"	"HG01890"	"1kGP WGS
long-read"	"cramino_qual"	16	15.7520491803279
"hg38"	"HG01894"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9387755102041
"hg38"	"HG01896"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7474541751528
"hg38"	"HG01915"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0430327868852
"hg38"	"HG01917"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2561475409836
"hg38"	"HG01918"	"1kGP WGS
long-read"	"cramino_qual"	16	15.4621676891616
"hg38"	"HG01923"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0448979591837
"hg38"	"HG01932"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3353783231084
"hg38"	"HG01933"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0081632653061
"hg38"	"HG01935"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2469387755102
"hg38"	"HG01939"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3428571428571
"hg38"	"HG01942"	"1kGP WGS
long-read"	"cramino_qual"	16	15.4662576687117
"hg38"	"HG01945"	"1kGP WGS
long-read"	"cramino_qual"	14	13.7061224489796
"hg38"	"HG01947"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9713701431493
"hg38"	"HG01948"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3489795918367
"hg38"	"HG01950"	"1kGP WGS
long-read"	"cramino_qual"	16	15.4855967078189
"hg38"	"HG01951"	"1kGP WGS
long-read"	"cramino_qual"	16	15.4364754098361
"hg38"	"HG01953"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8142857142857
"hg38"	"HG01961"	"1kGP WGS
long-read"	"cramino_qual"	15	14.1697341513292
"hg38"	"HG01965"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3271983640082
"hg38"	"HG01967"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2032854209446
"hg38"	"HG01971"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9774590163934
"hg38"	"HG01977"	"1kGP WGS
long-read"	"cramino_qual"	16	14.865306122449
"hg38"	"HG01982"	"1kGP WGS
long-read"	"cramino_qual"	16	15.4233128834356
"hg38"	"HG01983"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1635991820041
"hg38"	"HG01985"	"1kGP WGS
long-read"	"cramino_qual"	15	14.0736196319018
"hg38"	"HG01988"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5430327868852
"hg38"	"HG01990"	"1kGP WGS
long-read"	"cramino_qual"	16	14.7551020408163
"hg38"	"HG01991"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2786885245902
"hg38"	"HG01992"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0184049079755
"hg38"	"HG01997"	"1kGP WGS
long-read"	"cramino_qual"	14	13.3006134969325
"hg38"	"HG02003"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6858316221766
"hg38"	"HG02006"	"1kGP WGS
long-read"	"cramino_qual"	14	13.4948875255624
"hg38"	"HG02009"	"1kGP WGS
long-read"	"cramino_qual"	14	13.6081632653061
"hg38"	"HG02010"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8094262295082
"hg38"	"HG02012"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8882113821138
"hg38"	"HG02013"	"1kGP WGS
long-read"	"cramino_qual"	15	14.4329268292683
"hg38"	"HG02014"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8900203665988
"hg38"	"HG02016"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3203285420945
"hg38"	"HG02017"	"1kGP WGS
long-read"	"cramino_qual"	15	14.9753593429158
"hg38"	"HG02020"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2208588957055
"hg38"	"HG02031"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3893442622951
"hg38"	"HG02053"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2351738241309
"hg38"	"HG02058"	"1kGP WGS
long-read"	"cramino_qual"	14	13.6844262295082
"hg38"	"HG02060"	"1kGP WGS
long-read"	"cramino_qual"	16	15.6262833675565
"hg38"	"HG02064"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2131147540984
"hg38"	"HG02067"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2464065708419
"hg38"	"HG02069"	"1kGP WGS
long-read"	"cramino_qual"	16	15.5775510204082
"hg38"	"HG02072"	"1kGP WGS
long-read"	"cramino_qual"	17	15.9446721311475
"hg38"	"HG02079"	"1kGP WGS
long-read"	"cramino_qual"	15	14.1873727087576
"hg38"	"HG02081"	"1kGP WGS
long-read"	"cramino_qual"	16	15.4744376278119
"hg38"	"HG02082"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1495901639344
"hg38"	"HG02087"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2627291242363
"hg38"	"HG02089"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2362525458248
"hg38"	"HG02095"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8507157464213
"hg38"	"HG02105"	"1kGP WGS
long-read"	"cramino_qual"	15	14.521472392638
"hg38"	"HG02107"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9938524590164
"hg38"	"HG02111"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1959183673469
"hg38"	"HG02116"	"1kGP WGS
long-read"	"cramino_qual"	17	16.4887525562372
"hg38"	"HG02121"	"1kGP WGS
long-read"	"cramino_qual"	17	16.6270491803279
"hg38"	"HG02128"	"1kGP WGS
long-read"	"cramino_qual"	16	14.7889344262295
"hg38"	"HG02130"	"1kGP WGS
long-read"	"cramino_qual"	17	16.5398773006135
"hg38"	"HG02133"	"1kGP WGS
long-read"	"cramino_qual"	13	12.5102040816327
"hg38"	"HG02136"	"1kGP WGS
long-read"	"cramino_qual"	17	16.5327868852459
"hg38"	"HG02137"	"1kGP WGS
long-read"	"cramino_qual"	17	15.7530612244898
"hg38"	"HG02138"	"1kGP WGS
long-read"	"cramino_qual"	17	16.3545081967213
"hg38"	"HG02139"	"1kGP WGS
long-read"	"cramino_qual"	17	16.5667351129363
"hg38"	"HG02143"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5365853658537
"hg38"	"HG02144"	"1kGP WGS
long-read"	"cramino_qual"	14	13.4069529652352
"hg38"	"HG02146"	"1kGP WGS
long-read"	"cramino_qual"	15	14.0102459016393
"hg38"	"HG02152"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5409836065574
"hg38"	"HG02153"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9959100204499
"hg38"	"HG02154"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0977596741344
"hg38"	"HG02155"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0838445807771
"hg38"	"HG02156"	"1kGP WGS
long-read"	"cramino_qual"	16	15.118609406953
"hg38"	"HG02164"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7300613496933
"hg38"	"HG02165"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9368635437882
"hg38"	"HG02178"	"1kGP WGS
long-read"	"cramino_qual"	14	13.8839103869654
"hg38"	"HG02180"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9262295081967
"hg38"	"HG02182"	"1kGP WGS
long-read"	"cramino_qual"	15	14.8591836734694
"hg38"	"HG02184"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7096114519427
"hg38"	"HG02189"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6216768916155
"hg38"	"HG02223"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8340163934426
"hg38"	"HG02224"	"1kGP WGS
long-read"	"cramino_qual"	14	13.530612244898
"hg38"	"HG02231"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0367346938776
"hg38"	"HG02238"	"1kGP WGS
long-read"	"cramino_qual"	16	15.0572597137014
"hg38"	"HG02239"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8492871690428
"hg38"	"HG02250"	"1kGP WGS
long-read"	"cramino_qual"	14	13.965306122449
"hg38"	"HG02253"	"1kGP WGS
long-read"	"cramino_qual"	17	16.6221765913758
"hg38"	"HG02265"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9776422764228
"hg38"	"HG02266"	"1kGP WGS
long-read"	"cramino_qual"	17	15.9548254620123
"hg38"	"HG02271"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7520491803279
"hg38"	"HG02274"	"1kGP WGS
long-read"	"cramino_qual"	15	14.8477366255144
"hg38"	"HG02275"	"1kGP WGS
long-read"	"cramino_qual"	16	15.1844262295082
"hg38"	"HG02277"	"1kGP WGS
long-read"	"cramino_qual"	17	16.7034764826176
"hg38"	"HG02283"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3918367346939
"hg38"	"HG02284"	"1kGP WGS
long-read"	"cramino_qual"	15	14.7843942505133
"hg38"	"HG02285"	"1kGP WGS
long-read"	"cramino_qual"	16	15.3742331288344
"hg38"	"HG02291"	"1kGP WGS
long-read"	"cramino_qual"	15	14.6004098360656
"hg38"	"HG02292"	"1kGP WGS
long-read"	"cramino_qual"	15	14.655737704918
"hg38"	"HG02307"	"1kGP WGS
long-read"	"cramino_qual"	15	14.3428571428571
"hg38"	"HG02308"	"1kGP WGS
long-read"	"cramino_qual"	13	12.857433808554
"hg38"	"HG02309"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5530612244898
"hg38"	"HG02314"	"1kGP WGS
long-read"	"cramino_qual"	15	14.0959183673469
"hg38"	"HG02318"	"1kGP WGS
long-read"	"cramino_qual"	15	14.161554192229
"hg38"	"HG02325"	"1kGP WGS
long-read"	"cramino_qual"	16	14.9142857142857
"hg38"	"HG02332"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5775510204082
"hg38"	"HG02337"	"1kGP WGS
long-read"	"cramino_qual"	14	13.4704684317719
"hg38"	"HG02364"	"1kGP WGS
long-read"	"cramino_qual"	13	12.6232179226069
"hg38"	"HG02367"	"1kGP WGS
long-read"	"cramino_qual"	15	14.1489795918367
"hg38"	"HG02372"	"1kGP WGS
long-read"	"cramino_qual"	16	14.7454175152749
"hg38"	"HG02382"	"1kGP WGS
long-read"	"cramino_qual"	14	13.319018404908
"hg38"	"HG02384"	"1kGP WGS
long-read"	"cramino_qual"	15	14.1608961303462
"hg38"	"HG02390"	"1kGP WGS
long-read"	"cramino_qual"	15	13.9448979591837
"hg38"	"HG02402"	"1kGP WGS
long-read"	"cramino_qual"	14	13.1812627291242
"hg38"	"HG02410"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2408163265306
"hg38"	"HG02420"	"1kGP WGS
long-read"	"cramino_qual"	14	13.3571428571429
"hg38"	"HG02429"	"1kGP WGS
long-read"	"cramino_qual"	15	14.0061349693252
"hg38"	"HG02442"	"1kGP WGS
long-read"	"cramino_qual"	12	12.0940695296524
"hg38"	"HG02445"	"1kGP WGS
long-read"	"cramino_qual"	15	14.327868852459
"hg38"	"HG02455"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2331288343558
"hg38"	"HG02477"	"1kGP WGS
long-read"	"cramino_qual"	16	14.8957055214724
"hg38"	"HG02478"	"1kGP WGS
long-read"	"cramino_qual"	15	14.2158859470468
"hg38"	"HG02485"	"1kGP WGS
long-read"	"cramino_qual"	15	14.8477366255144
"hg38"	"HG02490"	"1kGP WGS
long-read"	"cramino_qual"	15	14.5852156057495
"hg38"	"HG02493"	"1kGP WGS
long-read"	"cramino_qual"	16	15.2197125256674
"hg38"	"HG02494"	"1kGP WGS
long-read"	"cramino_qual"	14	13.3094262295082
"hg38"	"HG02496"	"1kGP WGS
long-read"	"cramino_qual"	16	14.775967413442
